"ai_tool","user_type","experience_level","industry","primary_use_case","satisfaction_score","failure_reason"
"PyTorch","Student","Intermediate","Government","Marketing",1.86,"Connection issues"
"Claude","Junior Dev","Advanced","Tech","Coding",1.02,"Wrong output"
"AlphaFold","Government Worker","Advanced","Healthcare","Content Writing",1.91,"Low accuracy"
"AutoGPT","Doctor","Beginner","Finance","Automation",1.68,"Wrong output"
"Claude","DevOps Engineer","Expert","Healthcare","Customer Support",1.12,"Tool limitation"
"PyTorch","Senior Developer","Beginner","Tech","Marketing",2.57,"Low accuracy"
"GPT-5","Non-Tech User","Advanced","Media","Data Analysis",1.98,"Wrong output"
"HeyGen","ML Engineer","Expert","Tech","Design",1.56,"Low accuracy"
"Perplexity AI","Content Creator","Beginner","Retail","Customer Support",2.58,"Tool limitation"
"Elicit","Product Manager","Expert","Manufacturing","Coding",1.1,"Low accuracy"
"Synthesia","Cybersecurity Analyst","Expert","Agriculture","Learning",1.98,"Tool limitation"
"Elicit","ML Engineer","Advanced","Retail","Content Writing",1.93,"Connection issues"
"DataRobot","Senior Developer","Intermediate","Legal","Content Writing",1.54,"Wrong output"
"DataRobot","Researcher","Expert","Finance","Marketing",1.67,"Tool limitation"
"Gemini","Non-Tech User","Expert","Transportation","Marketing",2.03,"Slow response"
"GrammarlyGO","Startup Founder","Expert","Healthcare","Coding",2,"Wrong output"
"Runway ML","Teacher","Intermediate","Education","Design",2.06,"Tool limitation"
"GPT-4","Startup Founder","Beginner","Government","Automation",2.58,"Low accuracy"
"DataRobot","Junior Dev","Beginner","Transportation","Video Creation",2.51,"Tool limitation"
"Midjourney","Data Analyst","Intermediate","Media","Data Analysis",1.67,"Low accuracy"
"Perplexity AI","ML Engineer","Expert","Manufacturing","Learning",1.16,"Tool limitation"
"TensorFlow","Government Worker","Intermediate","Transportation","Learning",2.19,"Low accuracy"
"Runway ML","Designer","Expert","Agriculture","Content Writing",2.34,"Slow response"
"GrammarlyGO","Teacher","Intermediate","Healthcare","Research",1.28,"Tool limitation"
"AlphaFold","Content Creator","Expert","Agriculture","Marketing",1.65,"Low accuracy"
"Gemini","Content Creator","Beginner","Government","Customer Support",1.28,"Connection issues"
"IBM Watson","Government Worker","Intermediate","Manufacturing","Data Analysis",1.08,"Tool limitation"
"Hugging Face","Lawyer","Advanced","Transportation","Marketing",1.9,"Tool limitation"
"Codeium","Government Worker","Expert","Legal","Marketing",2.58,"Tool limitation"
"Cursor AI","Lawyer","Expert","Retail","Learning",1.79,"Slow response"
"Whisper","Marketer","Advanced","Government","Design",1.56,"Tool limitation"
"Duolingo Max","Startup Founder","Intermediate","Media","Content Writing",2,"Tool limitation"
"LLaMA","Government Worker","Expert","Finance","Automation",1.79,"Wrong output"
"LLaMA","ML Engineer","Intermediate","Media","Translation",1.03,"Tool limitation"
"HeyGen","Freelancer","Intermediate","Government","Coding",2.04,"Wrong output"
"Kensho","Data Analyst","Advanced","Education","Video Creation",1.89,"Low accuracy"
"LangChain","Student","Advanced","Education","Automation",1.41,"Wrong output"
"TensorFlow","Product Manager","Expert","Finance","Coding",1.4,"Slow response"
"Boston Dynamics AI","Senior Developer","Advanced","Finance","Automation",2.16,"Low accuracy"
"Boston Dynamics AI","Non-Tech User","Beginner","Government","Automation",1.08,"Low accuracy"
"Khanmigo","Senior Developer","Expert","Tech","Research",2.58,"Low accuracy"
"Runway ML","Product Manager","Intermediate","Media","Learning",1.35,"Tool limitation"
"Synthesia","Lawyer","Advanced","Legal","Translation",2.19,"Low accuracy"
"Copy.ai","Junior Dev","Beginner","Media","Content Writing",2.04,"Wrong output"
"Hugging Face","Business Owner","Expert","Transportation","Design",1.04,"Wrong output"
"BloombergGPT","Content Creator","Beginner","Tech","Coding",1.82,"Wrong output"
"Qwen","Cybersecurity Analyst","Expert","Transportation","Data Analysis",2.48,"Wrong output"
"Synthesia","Product Manager","Expert","Manufacturing","Video Creation",1.55,"Tool limitation"
"AutoGPT","Government Worker","Expert","Finance","Automation",2.1,"Tool limitation"
"TensorFlow","Startup Founder","Intermediate","Retail","Marketing",1.4,"Connection issues"
"Synthesia","Non-Tech User","Expert","Healthcare","Translation",1.88,"Low accuracy"
"Deepgram","Lawyer","Advanced","Agriculture","Learning",1.35,"Tool limitation"
"Jasper","Teacher","Intermediate","Finance","Customer Support",2.54,"Wrong output"
"Cohere","Product Manager","Intermediate","Transportation","Data Analysis",2.24,"Connection issues"
"Power BI Copilot","Freelancer","Expert","Finance","Automation",1.87,"Connection issues"
"Cursor AI","Designer","Expert","Transportation","Customer Support",1.69,"Connection issues"
"Gemini","DevOps Engineer","Expert","Agriculture","Research",1.26,"Low accuracy"
"GPT-5","ML Engineer","Beginner","Manufacturing","Customer Support",1.6,"Low accuracy"
"Tabnine","Content Creator","Beginner","Transportation","Content Writing",1.44,"Connection issues"
"Deepgram","Lawyer","Beginner","Tech","Automation",1.48,"Tool limitation"
"Gemini","Lawyer","Expert","Education","Research",1.48,"Slow response"
"Tableau AI","Government Worker","Intermediate","Energy","Coding",1.64,"Low accuracy"
"Devin","Senior Developer","Beginner","Transportation","Customer Support",1.48,"Tool limitation"
"Copy.ai","ML Engineer","Expert","Healthcare","Design",1.72,"Wrong output"
"Stable Diffusion","Cybersecurity Analyst","Expert","Finance","Learning",1.93,"Connection issues"
"Canva AI","Designer","Advanced","Retail","Design",1.37,"Low accuracy"
"DataRobot","Content Creator","Advanced","Agriculture","Customer Support",2.24,"Connection issues"
"Figma AI","ML Engineer","Advanced","Retail","Marketing",2.48,"Slow response"
"GitHub Copilot","Business Owner","Beginner","Healthcare","Content Writing",2.32,"Slow response"
"GrammarlyGO","Teacher","Intermediate","Manufacturing","Research",1.62,"Connection issues"
"TensorFlow","Government Worker","Expert","Legal","Customer Support",2.11,"Tool limitation"
"LLaMA","Product Manager","Advanced","Finance","Translation",1.04,"Wrong output"
"Microsoft Copilot","Researcher","Expert","Government","Automation",1.37,"Low accuracy"
"AlphaFold","Freelancer","Advanced","Agriculture","Customer Support",1.27,"Wrong output"
"Power BI Copilot","Teacher","Expert","Healthcare","Coding",2.41,"Slow response"
"PyTorch","Business Owner","Intermediate","Education","Translation",1.73,"Low accuracy"
"DALL-E","Designer","Expert","Healthcare","Video Creation",2.2,"Low accuracy"
"LangChain","Data Analyst","Beginner","Legal","Learning",1.96,"Wrong output"
"PyTorch","Lawyer","Expert","Education","Marketing",1.67,"Low accuracy"
"GPT-5","Startup Founder","Beginner","Agriculture","Learning",1.85,"Wrong output"
"Canva AI","Senior Developer","Expert","Transportation","Content Writing",1.31,"Connection issues"
"Canva AI","Content Creator","Expert","Government","Customer Support",1.61,"Low accuracy"
"DataRobot","Doctor","Advanced","Finance","Design",1.32,"Wrong output"
"LLaMA","Designer","Intermediate","Legal","Translation",1.24,"Wrong output"
"Duolingo Max","Student","Intermediate","Healthcare","Customer Support",1.51,"Slow response"
"Runway ML","Data Analyst","Advanced","Education","Customer Support",1.41,"Connection issues"
"Canva AI","Startup Founder","Advanced","Education","Customer Support",1.69,"Slow response"
"Boston Dynamics AI","Student","Advanced","Government","Research",1.22,"Low accuracy"
"LLaMA","Researcher","Intermediate","Energy","Data Analysis",1.64,"Low accuracy"
"AlphaFold","Content Creator","Advanced","Healthcare","Design",1.62,"Connection issues"
"Elicit","Freelancer","Beginner","Retail","Design",1.28,"Connection issues"
"Stable Diffusion","Product Manager","Expert","Tech","Video Creation",1.33,"Tool limitation"
"DALL-E","Non-Tech User","Intermediate","Energy","Marketing",1.11,"Connection issues"
"Hugging Face","Student","Beginner","Media","Coding",1.59,"Wrong output"
"Qwen","Data Analyst","Beginner","Agriculture","Coding",2.18,"Connection issues"
"Codeium","Junior Dev","Beginner","Media","Automation",1.43,"Tool limitation"
"Mistral","DevOps Engineer","Intermediate","Legal","Learning",1.14,"Slow response"
"Deepgram","Researcher","Intermediate","Media","Research",2.49,"Wrong output"
"AlphaFold","Business Owner","Beginner","Legal","Customer Support",1.95,"Wrong output"
"Stable Diffusion","Business Owner","Expert","Healthcare","Marketing",1.83,"Tool limitation"
"IBM Watson","Junior Dev","Beginner","Energy","Marketing",2.04,"Low accuracy"
"PyTorch","Startup Founder","Expert","Energy","Content Writing",1.2,"Low accuracy"
"Devin","DevOps Engineer","Expert","Finance","Data Analysis",1.81,"Wrong output"
"AlphaFold","Designer","Advanced","Tech","Video Creation",2.58,"Wrong output"
"Tesla Optimus","Business Owner","Intermediate","Finance","Automation",1.48,"Slow response"
"Synthesia","Junior Dev","Advanced","Healthcare","Content Writing",2.39,"Low accuracy"
"Microsoft Copilot","ML Engineer","Intermediate","Manufacturing","Marketing",1.21,"Wrong output"
"Codeium","Senior Developer","Advanced","Energy","Content Writing",1.91,"Connection issues"
"Cursor AI","Cybersecurity Analyst","Beginner","Energy","Research",1.88,"Tool limitation"
"Microsoft Copilot","Content Creator","Intermediate","Government","Translation",2.08,"Tool limitation"
"Gemini","Designer","Intermediate","Education","Customer Support",2.05,"Tool limitation"
"BloombergGPT","Doctor","Expert","Media","Customer Support",1.87,"Tool limitation"
"Microsoft Copilot","Data Analyst","Expert","Manufacturing","Design",1.95,"Wrong output"
"Tableau AI","Government Worker","Beginner","Government","Research",2.04,"Low accuracy"
"ElevenLabs","Freelancer","Intermediate","Media","Design",2.41,"Low accuracy"
"Notion AI","Marketer","Beginner","Education","Coding",1.25,"Low accuracy"
"Microsoft Copilot","Product Manager","Intermediate","Finance","Design",1.41,"Wrong output"
"Claude","Doctor","Intermediate","Retail","Customer Support",2.54,"Low accuracy"
"Microsoft Copilot","Lawyer","Beginner","Media","Customer Support",2.5,"Tool limitation"
"Hugging Face","Junior Dev","Expert","Tech","Coding",1.61,"Slow response"
"LangChain","Senior Developer","Advanced","Finance","Marketing",1.84,"Low accuracy"
"Jasper","Designer","Expert","Government","Learning",2.46,"Tool limitation"
"Gemini","Non-Tech User","Advanced","Education","Translation",1.79,"Low accuracy"
"Tableau AI","Student","Beginner","Tech","Marketing",1.36,"Slow response"
"Jasper","DevOps Engineer","Advanced","Tech","Content Writing",2.54,"Connection issues"
"GitHub Copilot","Marketer","Expert","Healthcare","Coding",1.26,"Connection issues"
"Synthesia","Product Manager","Intermediate","Education","Content Writing",1.7,"Low accuracy"
"Figma AI","Junior Dev","Intermediate","Agriculture","Content Writing",1.06,"Connection issues"
"Canva AI","Marketer","Expert","Manufacturing","Customer Support",2.46,"Wrong output"
"LangChain","Student","Beginner","Finance","Learning",2.06,"Slow response"
"Deepgram","Marketer","Advanced","Retail","Video Creation",1.65,"Wrong output"
"Elicit","Doctor","Beginner","Energy","Design",1.94,"Tool limitation"
"DeepSeek","Lawyer","Expert","Media","Video Creation",2.3,"Tool limitation"
"ElevenLabs","Cybersecurity Analyst","Intermediate","Government","Customer Support",2.3,"Connection issues"
"Gemini","Student","Intermediate","Tech","Video Creation",1.62,"Tool limitation"
"Microsoft Copilot","ML Engineer","Beginner","Education","Automation",2.29,"Slow response"
"Microsoft Copilot","Lawyer","Beginner","Tech","Learning",2.45,"Low accuracy"
"Tesla Optimus","Product Manager","Intermediate","Healthcare","Design",2.25,"Connection issues"
"BloombergGPT","Content Creator","Intermediate","Finance","Coding",2.29,"Low accuracy"
"AutoGPT","Cybersecurity Analyst","Intermediate","Healthcare","Design",1.28,"Slow response"
"Falcon","Junior Dev","Beginner","Education","Design",2.46,"Tool limitation"
"GitHub Copilot","Lawyer","Expert","Transportation","Customer Support",1.22,"Slow response"
"DALL-E","Lawyer","Advanced","Media","Marketing",1.45,"Slow response"
"Falcon","Teacher","Beginner","Transportation","Content Writing",1.68,"Slow response"
"Khanmigo","Business Owner","Beginner","Healthcare","Marketing",1.08,"Slow response"
"DeepSeek","Doctor","Beginner","Retail","Data Analysis",2.1,"Tool limitation"
"GPT-4","Business Owner","Advanced","Finance","Video Creation",1.75,"Low accuracy"
"Mistral","Lawyer","Beginner","Energy","Learning",1.31,"Slow response"
"Devin","Student","Beginner","Government","Video Creation",2.51,"Wrong output"
"Notion AI","Non-Tech User","Intermediate","Finance","Design",1.33,"Wrong output"
"Deepgram","Junior Dev","Advanced","Manufacturing","Learning",2.39,"Tool limitation"
"TensorFlow","Startup Founder","Intermediate","Media","Coding",1.61,"Low accuracy"
"Devin","Researcher","Beginner","Transportation","Coding",2.11,"Wrong output"
"Notion AI","Researcher","Intermediate","Legal","Content Writing",1.41,"Low accuracy"
"Cohere","Non-Tech User","Beginner","Retail","Automation",1.08,"Slow response"
"BloombergGPT","Non-Tech User","Advanced","Agriculture","Translation",2.22,"Slow response"
"ElevenLabs","Freelancer","Expert","Legal","Automation",1.6,"Wrong output"
"DeepSeek","Senior Developer","Intermediate","Manufacturing","Research",2.33,"Tool limitation"
"AlphaFold","Researcher","Advanced","Legal","Coding",1.07,"Wrong output"
"Hugging Face","Lawyer","Expert","Retail","Data Analysis",1.58,"Connection issues"
"LLaMA","Designer","Intermediate","Media","Design",1.61,"Slow response"
"Jasper","Content Creator","Beginner","Media","Content Writing",2.33,"Slow response"
"Devin","Researcher","Advanced","Media","Customer Support",1.91,"Connection issues"
"Midjourney","Lawyer","Expert","Government","Coding",1.7,"Low accuracy"
"Kensho","Freelancer","Intermediate","Media","Marketing",2.3,"Slow response"
"Midjourney","Product Manager","Beginner","Government","Video Creation",2.11,"Connection issues"
"Jasper","Lawyer","Beginner","Retail","Content Writing",1.15,"Connection issues"
"Qwen","ML Engineer","Intermediate","Media","Data Analysis",2.15,"Tool limitation"
"TensorFlow","Government Worker","Expert","Education","Design",1.82,"Slow response"
"AlphaFold","Marketer","Advanced","Transportation","Translation",2.51,"Low accuracy"
"GPT-5","Cybersecurity Analyst","Expert","Transportation","Customer Support",1.93,"Low accuracy"
"Midjourney","DevOps Engineer","Intermediate","Manufacturing","Learning",1.18,"Connection issues"
"Jasper","Non-Tech User","Intermediate","Energy","Learning",1.94,"Wrong output"
"Jasper","DevOps Engineer","Expert","Government","Design",1.55,"Connection issues"
"AlphaFold","Marketer","Beginner","Tech","Customer Support",1.35,"Connection issues"
"Grok","Designer","Advanced","Government","Design",2.34,"Tool limitation"
"Runway ML","Junior Dev","Beginner","Manufacturing","Design",1.78,"Connection issues"
"AlphaFold","Researcher","Expert","Tech","Marketing",2.49,"Low accuracy"
"Qwen","Junior Dev","Intermediate","Agriculture","Automation",1.29,"Tool limitation"
"Notion AI","Researcher","Beginner","Education","Content Writing",1.16,"Tool limitation"
"DALL-E","Government Worker","Advanced","Transportation","Data Analysis",1.37,"Wrong output"
"LangChain","Designer","Expert","Agriculture","Learning",1.61,"Connection issues"
"Duolingo Max","Marketer","Beginner","Retail","Design",1.65,"Tool limitation"
"LangChain","Marketer","Intermediate","Media","Translation",2.17,"Low accuracy"
"Jasper","DevOps Engineer","Intermediate","Education","Marketing",1.38,"Low accuracy"
"AlphaFold","Senior Developer","Beginner","Media","Marketing",2.16,"Wrong output"
"Midjourney","Freelancer","Intermediate","Tech","Translation",2.02,"Tool limitation"
"Canva AI","Data Analyst","Advanced","Tech","Marketing",1.77,"Slow response"
"Cohere","Non-Tech User","Expert","Retail","Automation",1.76,"Slow response"
"Tabnine","Researcher","Advanced","Manufacturing","Research",2.11,"Wrong output"
"Notion AI","Cybersecurity Analyst","Expert","Healthcare","Design",1.11,"Tool limitation"
"Khanmigo","Freelancer","Intermediate","Education","Customer Support",2.57,"Connection issues"
"Perplexity AI","Designer","Advanced","Manufacturing","Marketing",2.02,"Connection issues"
"Grok","Researcher","Beginner","Legal","Video Creation",1.31,"Slow response"
"Notion AI","Designer","Advanced","Tech","Automation",2.27,"Low accuracy"
"Stable Diffusion","Junior Dev","Advanced","Agriculture","Data Analysis",2.24,"Connection issues"
"Power BI Copilot","Government Worker","Expert","Retail","Marketing",2.04,"Tool limitation"
"LangChain","Startup Founder","Expert","Media","Translation",1.13,"Tool limitation"
"GitHub Copilot","Senior Developer","Beginner","Agriculture","Research",1.72,"Wrong output"
"Falcon","Business Owner","Intermediate","Agriculture","Data Analysis",2.43,"Wrong output"
"Cursor AI","Senior Developer","Beginner","Manufacturing","Coding",2.44,"Tool limitation"
"Deepgram","Content Creator","Expert","Agriculture","Learning",2.47,"Wrong output"
"Tableau AI","Non-Tech User","Expert","Healthcare","Design",1.52,"Connection issues"
"Synthesia","Cybersecurity Analyst","Expert","Finance","Marketing",2.48,"Slow response"
"Tabnine","Startup Founder","Expert","Legal","Coding",2.14,"Slow response"
"Boston Dynamics AI","Researcher","Expert","Education","Automation",1.38,"Wrong output"
"AutoGPT","Researcher","Beginner","Media","Content Writing",2.32,"Low accuracy"
"BloombergGPT","Student","Intermediate","Tech","Marketing",2.43,"Low accuracy"
"Cohere","Non-Tech User","Advanced","Government","Learning",1.84,"Slow response"
"AutoGPT","Non-Tech User","Advanced","Healthcare","Research",1.74,"Low accuracy"
"DeepSeek","Freelancer","Expert","Legal","Research",2.02,"Connection issues"
"GrammarlyGO","Startup Founder","Intermediate","Transportation","Content Writing",2.17,"Tool limitation"
"Tabnine","Student","Expert","Healthcare","Data Analysis",1.72,"Wrong output"
"Cohere","Senior Developer","Intermediate","Finance","Customer Support",2.04,"Tool limitation"
"Deepgram","Government Worker","Beginner","Manufacturing","Translation",2.5,"Connection issues"
"IBM Watson","Marketer","Beginner","Energy","Coding",1.59,"Wrong output"
"Tableau AI","Marketer","Beginner","Agriculture","Design",1.74,"Low accuracy"
"Copy.ai","Non-Tech User","Expert","Manufacturing","Coding",1.89,"Connection issues"
"DeepSeek","Researcher","Advanced","Agriculture","Automation",1.04,"Wrong output"
"Whisper","DevOps Engineer","Beginner","Tech","Translation",1.15,"Wrong output"
"Stable Diffusion","Startup Founder","Advanced","Education","Marketing",1.31,"Slow response"
"GPT-5","Freelancer","Beginner","Agriculture","Design",1.98,"Wrong output"
"Duolingo Max","Marketer","Advanced","Tech","Marketing",2.21,"Tool limitation"
"Gemini","Junior Dev","Intermediate","Healthcare","Data Analysis",1.71,"Slow response"
"BloombergGPT","Data Analyst","Intermediate","Agriculture","Marketing",1.04,"Tool limitation"
"Devin","Data Analyst","Expert","Media","Research",2.18,"Connection issues"
"DALL-E","Junior Dev","Advanced","Media","Research",2.13,"Tool limitation"
"Tableau AI","Doctor","Beginner","Finance","Customer Support",1.53,"Low accuracy"
"Falcon","Non-Tech User","Beginner","Energy","Automation",1.1,"Wrong output"
"Devin","Non-Tech User","Expert","Agriculture","Research",2.07,"Wrong output"
"AlphaFold","Business Owner","Advanced","Retail","Data Analysis",2.16,"Connection issues"
"Power BI Copilot","Doctor","Expert","Healthcare","Research",1.46,"Tool limitation"
"GitHub Copilot","Cybersecurity Analyst","Advanced","Finance","Content Writing",2.35,"Wrong output"
"DataRobot","Senior Developer","Advanced","Transportation","Customer Support",1.45,"Wrong output"
"LangChain","Startup Founder","Advanced","Media","Translation",2.06,"Low accuracy"
"GrammarlyGO","Freelancer","Intermediate","Energy","Coding",2.26,"Tool limitation"
"Figma AI","Business Owner","Beginner","Finance","Research",1.26,"Low accuracy"
"Runway ML","Freelancer","Intermediate","Finance","Research",2.04,"Wrong output"
"DeepSeek","Doctor","Beginner","Retail","Marketing",1.95,"Slow response"
"LLaMA","Teacher","Expert","Retail","Customer Support",1.29,"Slow response"
"Qwen","Designer","Expert","Energy","Translation",2.54,"Connection issues"
"Jasper","Product Manager","Intermediate","Healthcare","Research",2.16,"Connection issues"
"Stable Diffusion","Researcher","Beginner","Energy","Learning",2.12,"Connection issues"
"Boston Dynamics AI","Researcher","Beginner","Government","Learning",1.93,"Low accuracy"
"Power BI Copilot","Student","Advanced","Agriculture","Automation",1.04,"Tool limitation"
"GitHub Copilot","Cybersecurity Analyst","Beginner","Manufacturing","Research",1.59,"Tool limitation"
"GrammarlyGO","Teacher","Advanced","Manufacturing","Marketing",1.95,"Connection issues"
"Notion AI","Marketer","Intermediate","Finance","Translation",2.33,"Wrong output"
"GitHub Copilot","ML Engineer","Beginner","Tech","Customer Support",2.07,"Tool limitation"
"TensorFlow","Content Creator","Intermediate","Energy","Content Writing",1.91,"Tool limitation"
"Canva AI","Product Manager","Beginner","Manufacturing","Translation",2.3,"Connection issues"
"IBM Watson","DevOps Engineer","Expert","Manufacturing","Coding",1.21,"Tool limitation"
"AlphaFold","Student","Expert","Tech","Customer Support",1.6,"Tool limitation"
"GPT-5","Senior Developer","Expert","Transportation","Coding",1.25,"Low accuracy"
"Grok","Marketer","Beginner","Government","Research",2.49,"Wrong output"
"Microsoft Copilot","Student","Advanced","Energy","Customer Support",1.38,"Slow response"
"Stable Diffusion","ML Engineer","Expert","Agriculture","Design",1.45,"Slow response"
"LLaMA","Cybersecurity Analyst","Expert","Energy","Research",2.37,"Tool limitation"
"GitHub Copilot","Researcher","Advanced","Energy","Content Writing",2.28,"Slow response"
"Tableau AI","ML Engineer","Beginner","Education","Customer Support",1.76,"Wrong output"
"Cohere","Senior Developer","Intermediate","Tech","Video Creation",1.99,"Slow response"
"Perplexity AI","Content Creator","Advanced","Media","Content Writing",1.5,"Connection issues"
"GrammarlyGO","Content Creator","Expert","Retail","Learning",1.53,"Low accuracy"
"AlphaFold","Teacher","Intermediate","Education","Customer Support",1.25,"Slow response"
"Claude","Content Creator","Beginner","Media","Translation",2.46,"Slow response"
"Codeium","Data Analyst","Advanced","Energy","Design",1.83,"Wrong output"
"Qwen","Doctor","Expert","Energy","Design",2.59,"Connection issues"
"GPT-4","ML Engineer","Expert","Finance","Learning",1.28,"Low accuracy"
"Microsoft Copilot","Junior Dev","Expert","Finance","Translation",1.94,"Wrong output"
"Notion AI","ML Engineer","Beginner","Retail","Research",2.59,"Low accuracy"
"LLaMA","Startup Founder","Beginner","Transportation","Translation",1.32,"Low accuracy"
"Claude","Designer","Advanced","Tech","Research",1.03,"Connection issues"
"Boston Dynamics AI","Junior Dev","Expert","Healthcare","Data Analysis",1.27,"Slow response"
"AutoGPT","Non-Tech User","Advanced","Transportation","Translation",1.5,"Slow response"
"Grok","Non-Tech User","Intermediate","Agriculture","Learning",1.76,"Tool limitation"
"AutoGPT","Business Owner","Advanced","Transportation","Marketing",2.27,"Tool limitation"
"LangChain","Designer","Intermediate","Finance","Design",1.81,"Wrong output"
"Qwen","Startup Founder","Advanced","Manufacturing","Content Writing",1.05,"Tool limitation"
"Elicit","ML Engineer","Expert","Manufacturing","Marketing",2.59,"Tool limitation"
"Power BI Copilot","Data Analyst","Expert","Manufacturing","Translation",1.94,"Low accuracy"
"Tesla Optimus","Researcher","Beginner","Energy","Automation",1.32,"Connection issues"
"Kensho","Lawyer","Intermediate","Retail","Research",2.01,"Connection issues"
"AlphaFold","Non-Tech User","Intermediate","Energy","Design",2.05,"Connection issues"
"LLaMA","Product Manager","Advanced","Legal","Automation",1.67,"Connection issues"
"Midjourney","Junior Dev","Intermediate","Legal","Customer Support",1.66,"Low accuracy"
"Tesla Optimus","ML Engineer","Advanced","Manufacturing","Marketing",2,"Low accuracy"
"Grok","Freelancer","Expert","Finance","Design",1.52,"Slow response"
"Midjourney","Data Analyst","Intermediate","Education","Design",1.37,"Wrong output"
"Copy.ai","Junior Dev","Expert","Manufacturing","Video Creation",2.56,"Low accuracy"
"Perplexity AI","Non-Tech User","Expert","Retail","Translation",1.63,"Wrong output"
"Canva AI","Freelancer","Advanced","Legal","Design",1.21,"Wrong output"
"LLaMA","Student","Intermediate","Finance","Learning",1.83,"Wrong output"
"Elicit","Freelancer","Advanced","Retail","Research",2,"Tool limitation"
"Synthesia","Lawyer","Expert","Retail","Content Writing",1.1,"Wrong output"
"TensorFlow","ML Engineer","Beginner","Government","Automation",2.04,"Connection issues"
"LangChain","Content Creator","Intermediate","Legal","Research",1.52,"Wrong output"
"Falcon","Lawyer","Expert","Healthcare","Automation",1.22,"Wrong output"
"Hugging Face","Researcher","Beginner","Education","Research",1.14,"Slow response"
"GPT-4","Senior Developer","Intermediate","Finance","Marketing",1.67,"Tool limitation"
"GitHub Copilot","Researcher","Intermediate","Finance","Marketing",2.2,"Low accuracy"
"Falcon","DevOps Engineer","Intermediate","Finance","Learning",2.48,"Connection issues"
"Stable Diffusion","Government Worker","Beginner","Finance","Data Analysis",1.35,"Low accuracy"
"GrammarlyGO","Freelancer","Advanced","Healthcare","Customer Support",2.02,"Tool limitation"
"Stable Diffusion","Government Worker","Advanced","Education","Customer Support",2.2,"Connection issues"
"Tesla Optimus","Freelancer","Expert","Energy","Marketing",1.21,"Connection issues"
"Deepgram","Teacher","Advanced","Transportation","Marketing",1.93,"Connection issues"
"Cohere","Researcher","Expert","Finance","Video Creation",1.16,"Slow response"
"LangChain","Government Worker","Intermediate","Manufacturing","Content Writing",1.7,"Slow response"
"GrammarlyGO","Freelancer","Advanced","Transportation","Design",1.5,"Connection issues"
"ElevenLabs","Government Worker","Beginner","Transportation","Video Creation",2.31,"Low accuracy"
"GitHub Copilot","Researcher","Intermediate","Media","Content Writing",1.48,"Low accuracy"
"AutoGPT","Designer","Expert","Energy","Automation",1.97,"Tool limitation"
"Whisper","Startup Founder","Intermediate","Finance","Marketing",2.02,"Wrong output"
"Runway ML","ML Engineer","Intermediate","Government","Marketing",2.51,"Slow response"
"Boston Dynamics AI","Government Worker","Beginner","Finance","Video Creation",2.32,"Low accuracy"
"Microsoft Copilot","Doctor","Advanced","Education","Automation",2.36,"Connection issues"
"GrammarlyGO","Cybersecurity Analyst","Advanced","Tech","Coding",1.84,"Connection issues"
"DALL-E","Lawyer","Intermediate","Healthcare","Learning",2.49,"Low accuracy"
"Power BI Copilot","Business Owner","Expert","Finance","Learning",1.67,"Low accuracy"
"Tableau AI","Content Creator","Beginner","Agriculture","Video Creation",2.04,"Wrong output"
"Whisper","DevOps Engineer","Beginner","Legal","Data Analysis",2.51,"Slow response"
"Cursor AI","Marketer","Intermediate","Tech","Content Writing",1.01,"Low accuracy"
"Boston Dynamics AI","Doctor","Advanced","Energy","Learning",2.12,"Tool limitation"
"Tesla Optimus","Student","Intermediate","Retail","Customer Support",1.82,"Wrong output"
"AlphaFold","Lawyer","Beginner","Education","Research",2.16,"Wrong output"
"DeepSeek","Data Analyst","Intermediate","Finance","Video Creation",2.24,"Tool limitation"
"Grok","Cybersecurity Analyst","Beginner","Media","Data Analysis",1.03,"Tool limitation"
"Whisper","Doctor","Advanced","Education","Customer Support",1.96,"Slow response"
"Grok","Teacher","Intermediate","Finance","Customer Support",1.56,"Low accuracy"
"Midjourney","Business Owner","Beginner","Media","Design",2.11,"Low accuracy"
"Boston Dynamics AI","DevOps Engineer","Beginner","Agriculture","Content Writing",1.16,"Connection issues"
"Perplexity AI","Student","Beginner","Media","Automation",1.33,"Low accuracy"
"Devin","Junior Dev","Advanced","Tech","Translation",1.45,"Low accuracy"
"Kensho","Data Analyst","Beginner","Manufacturing","Research",1.45,"Tool limitation"
"Qwen","Senior Developer","Advanced","Finance","Learning",1.01,"Slow response"
"ElevenLabs","ML Engineer","Beginner","Legal","Research",1.4,"Slow response"
"Power BI Copilot","Designer","Beginner","Legal","Video Creation",2.19,"Tool limitation"
"AutoGPT","Marketer","Intermediate","Legal","Research",2.03,"Slow response"
"Tesla Optimus","Non-Tech User","Intermediate","Tech","Marketing",2.45,"Connection issues"
"TensorFlow","Non-Tech User","Beginner","Education","Research",2.1,"Tool limitation"
"Runway ML","Teacher","Advanced","Manufacturing","Customer Support",1.97,"Wrong output"
"GrammarlyGO","Government Worker","Beginner","Healthcare","Coding",2.1,"Low accuracy"
"TensorFlow","Senior Developer","Advanced","Agriculture","Coding",1.69,"Slow response"
"Devin","Junior Dev","Advanced","Transportation","Research",1.87,"Tool limitation"
"Tabnine","Doctor","Advanced","Agriculture","Translation",2.2,"Connection issues"
"HeyGen","Product Manager","Expert","Transportation","Translation",1.24,"Connection issues"
